intertidal_km2,permanent_km2,valid_km2,year
0.0,0.0,0.0,1984
0.0,0.0,0.0,1985
3.297025999876961,88.74486129812308,140.9467255914795,1986
32.944926610317374,126.34085951623652,168.5651782499171,1987
14.460144948827567,141.23966632267806,167.51068592120168,1988
11.790781408226003,131.07722256666182,150.74141638600662,1989
14.398389694646106,138.56277575036788,167.4367548627623,1990
16.78423537757321,133.51988548164212,167.45604388950133,1991
8.877055669127216,141.7179972240933,167.14394556233867,1992
16.447273011407102,142.7227042068944,167.30727605869757,1993
2.9687077739597694,132.51876976651045,144.24708099064685,1994
3.6659551458381228,125.11516186104636,148.17875192823402,1995
0.0,0.0,0.0,1996
0.3870549850679285,111.07370953840743,164.8169942247427,1997
9.92726123325415,143.73897839967006,166.1068594567142,1998
13.69967161967678,143.05916626387634,168.3698338024545,1999
12.14323030409247,141.42181195880352,168.39811033324207,2000
19.059496573891398,136.74013968949353,168.5359137877589,2001
21.76952681659185,135.44801806267188,168.57228823490237,2002
16.740137724786525,136.72015934226087,168.42809482630554,2003
16.54822525880571,138.09653542393113,168.6158660506372,2004
18.54354813814215,136.6787329867383,168.63721415274904,2005
13.86203219727525,140.9055085887001,168.5171450680323,2006
20.41838116645953,137.20530342720528,168.60215096397906,2007
17.373173006948335,138.66889139389076,168.64254991471194,2008
14.237712451092516,142.33298138860215,168.49664132590135,2009
18.331402440558378,137.96578822432835,168.48344398056898,2010
13.724876771141897,142.15340214726723,168.29617725765297,2011
22.479542550561828,133.44551722250074,168.12896869285257,2012
24.94991394937323,133.0329087999304,168.55716995713144,2013
16.59224765854696,142.31487388902895,168.63737279412223,2014
4.967104857804362,155.39780349797735,169.39584473563457,2015
20.03458970398432,141.7224792322773,169.403848005471,2016
18.703215860278682,143.19085257451357,169.38428231400374,2017
22.344095764071874,139.93789114150889,169.4029587201316,2018
21.90127847957548,141.0109274843457,169.5017573989388,2019
21.932508110050517,140.20931586121137,169.8371468850839,2020
16.693939431509925,143.39107912346304,170.06560143576314,2021
12.289320040387251,146.59152270858596,241.4610953744791,2022
13.746594398298583,144.37042630617344,241.46109537447907,2023
12.908511128839475,145.7067176908903,241.4610953744791,2024
